"path","methods","sourceFile","authPattern","tenantMention","status","evidence"
"/api/admin/ai-agent","GET|POST|DELETE","src/app/api/admin/ai-agent/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/ai-agent/route.ts"
"/api/admin/blog/ai-control","POST","src/app/api/admin/blog/ai-control/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/blog/ai-control/route.ts"
"/api/admin/blog/categories/[id]","GET|PUT|DELETE","src/app/api/admin/blog/categories/[id]/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/blog/categories/[id]/route.ts"
"/api/admin/blog/categories","GET|POST","src/app/api/admin/blog/categories/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/blog/categories/route.ts"
"/api/admin/blog/comments/[id]","PUT|DELETE","src/app/api/admin/blog/comments/[id]/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/blog/comments/[id]/route.ts"
"/api/admin/blog/comments/ai-control","POST","src/app/api/admin/blog/comments/ai-control/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/blog/comments/ai-control/route.ts"
"/api/admin/blog/comments","GET|POST","src/app/api/admin/blog/comments/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/blog/comments/route.ts"
"/api/admin/blog/content-calendar/ai-control","POST","src/app/api/admin/blog/content-calendar/ai-control/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/blog/content-calendar/ai-control/route.ts"
"/api/admin/blog/content-calendar","GET|PATCH","src/app/api/admin/blog/content-calendar/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/blog/content-calendar/route.ts"
"/api/admin/blog/generate-chunk","POST","src/app/api/admin/blog/generate-chunk/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/blog/generate-chunk/route.ts"
"/api/admin/blog/posts/[id]","GET|PUT|DELETE","src/app/api/admin/blog/posts/[id]/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/blog/posts/[id]/route.ts"
"/api/admin/blog/posts","GET|POST","src/app/api/admin/blog/posts/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/blog/posts/route.ts"
"/api/admin/brands/[id]","PUT|DELETE","src/app/api/admin/brands/[id]/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/brands/[id]/route.ts"
"/api/admin/brands/ai-clean","POST","src/app/api/admin/brands/ai-clean/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/brands/ai-clean/route.ts"
"/api/admin/brands/ai-control","POST","src/app/api/admin/brands/ai-control/route.ts","verifyAuth:admin","yes","confirmed-exists","src/app/api/admin/brands/ai-control/route.ts"
